Length,Breadth,Vehicle_Type
4.57,1.76,Car
4.12,1.51,Car
3.84,1.51,Car
4.08,1.66,Car
4.59,1.51,Car
3.6,1.51,Car
3.64,1.62,Car
4.36,1.55,Car
4.01,1.52,Car
3.94,1.54,Car
4.33,1.53,Car
4.32,1.51,Car
4.64,1.64,Car
4.39,1.54,Car
4.56,1.53,Car
3.88,1.74,Car
4.62,1.51,Car
4.08,1.79,Car
4.04,1.65,Car
3.54,1.51,Car
4.63,1.72,Car
3.76,1.77,Car
3.85,1.53,Car
3.91,1.68,Car
4.22,1.76,Car
4.02,1.63,Car
3.92,1.68,Car
4.11,1.52,Car
3.62,1.54,Car
3.57,1.68,Car
4.3,1.71,Car
3.62,1.65,Car
4.7,1.63,Car
4.46,1.74,Car
3.94,1.79,Car
4.66,1.64,Car
3.93,1.74,Car
3.86,1.71,Car
4.69,1.58,Car
4.01,1.6,Car
3.75,1.52,Car
4.27,1.68,Car
3.72,1.78,Car
4.46,1.57,Car
4.58,1.74,Car
3.7,1.52,Car
4.07,1.76,Car
4.27,1.72,Car
4.22,1.75,Car
4.46,1.59,Car
6.85,2.2,Truck
6.74,2.64,Truck
7.57,2.67,Truck
6.95,2.22,Truck
6.54,2.49,Truck
7.5,2.59,Truck
7.02,2.23,Truck
7.71,2.32,Truck
7.1,2.22,Truck
8.38,2.64,Truck
6.7,2.65,Truck
7.88,2.64,Truck
7.14,2.35,Truck
7.72,2.57,Truck
7.09,2.56,Truck
6.73,2.27,Truck
7.34,2.38,Truck
6.47,2.62,Truck
8.11,2.62,Truck
8.24,2.5,Truck
6.07,2.63,Truck
8.28,2.34,Truck
7.4,2.46,Truck
6.14,2.24,Truck
6.48,2.54,Truck
6.76,2.45,Truck
7.84,2.63,Truck
7.76,2.44,Truck
6.16,2.68,Truck
8.43,2.35,Truck
8.01,2.36,Truck
8.46,2.31,Truck
8.43,2.51,Truck
6.41,2.27,Truck
7.36,2.68,Truck
7.07,2.25,Truck
8.31,2.47,Truck
7.28,2.59,Truck
7.66,2.26,Truck
8.36,2.31,Truck
7.37,2.37,Truck
6.2,2.34,Truck
6.05,2.5,Truck
6.21,2.66,Truck
7.48,2.62,Truck
6.84,2.69,Truck
6.89,2.26,Truck
7.57,2.54,Truck
8.34,2.32,Truck
7.53,2.59,Truck
